Acompanhamentos 1;Acompanhamentos 2;Acompanhamentos 3;Acompanhamentos 4;Qty Acompanhamentos;Chave Participante;vencedor?;Faixa Etária;Ano Estréia;Cidade Origem;Data Saída;País Origem;Ocupação Agrupada;Gênero;Estado;Nome Participante;Idade;Ocupação;Resultado;Masterchef;Estréia Temporada;Fim Temporada;Qty Episódios;Qty Participantes;Obserção;Tipo Prato;Vegetariano;Nome Prato;Item Principal;Acompanhamentos;Participantes Finalistas;UF;Regiao
arroz de jasmim;;;;1;Helena Manosso1;0;Adultos;2014;São Paulo;16 de dezembro de 2014;Brasil;Engenheiro;Mulher;São Paulo;Helena Manosso;44;Engenheira química;2º lugar;1;2 de setembro de 2014;16 de dezembro de 2014;17;16;;Principal;0;Barriga de porco com ervas;Porco;arroz de jasmim;Helena Manosso;SP;Sudeste
;;;;0;Renan Corrêa6;0;Adultos;2019;São Luís de Montes Belos;19 de maio de 2019;Brasil;Economista;Homem;Goiás;Renan Corrêa;31;Economista;7º eliminado;6;24 de março de 2019;25 de agosto de 2019;22;19;;;;;;;;GO;Centro-Oeste
salada de raita;;;;1;Raul Lemos2;0;Adultos;2015;Santos;15 de setembro de 2015;Brasil;Publicitário;Homem;São Paulo;Raul Lemos;34;Publicitário;2º lugar;2;19 de maio de 2015;15 de setembro de 2015;18;18;;Entrada;0;Bolinhos paquistaneses de carne;Bolinho de carne;salada de raita;Raul Lemos;SP;Sudeste
;;;;0;Hamilton Carvalho2;0;Adultos;2015;Brasília;16 de junho de 2015;Brasil;Piloto;Homem;Distrito Federal;Hamilton Carvalho;47;Piloto policial de helicópteros;5º eliminado;2;19 de maio de 2015;15 de setembro de 2015;18;18;;;;;;;;DF;Centro-Oeste
;;;;0;Fernando Consoni6;0;Adultos;2019;Araras;7 de julho de 2019;Brasil;Arquitetura;Homem;São Paulo;Fernando Consoni;37;Arquiteto;12º eliminado;6;24 de março de 2019;25 de agosto de 2019;22;19;;;;;;;;SP;Sudeste
;;;;0;Ecatharine Santos6;0;Adultos;2019;Palmeiras;21 de julho de 2019;Brasil;Pedagogia;Mulher;Bahia;Ecatharine Santos;30;Professora de dança do ventre;14ª eliminada;6;24 de março de 2019;25 de agosto de 2019;22;19;;;;;;;;BA;Nordeste
;;;;0;Fabrizio Barata4;0;Adultos;2017;Salvador;11 de julho de 2017;Brasil;Publicitário;Homem;Bahia;Fabrizio Barata;39;Publicitário;16º eliminado;4;7 de março de 2017;22 de agosto de 2017;25;21;;;;;;;;BA;Nordeste
;;;;0;Luriana Toledo3;0;Adultos;2016;Bebedouro;9 de agosto de 2016;Brasil;Fisioterapeuta;Mulher;São Paulo;Luriana Toledo;27;Fisioterapeuta;19ª eliminada;3;15 de março de 2016;23 de agosto de 2016;25;21;;;;;;;;SP;Sudeste
;;;;0;Janaína Caetano6;0;Adultos;2019;Diadema;30 de junho de 2019;Brasil;Taróloga;Mulher;São Paulo;Janaína Caetano;38;Taróloga;11ª eliminada;6;24 de março de 2019;25 de agosto de 2019;22;19;;;;;;;;SP;Sudeste
;;;;0;Valter Herzmann4;0;Adultos;2017;Florianópolis;15 de agosto de 2017;Brasil;Produtora executiva;Homem;Santa Catarina;Valter Herzmann;40;Produtor de eventos;21º eliminado;4;7 de março de 2017;22 de agosto de 2017;25;21;;;;;;;;SC;Sul
;;;;0;Crisleine Cardoso5;0;Adultos;2018;Fogo;17 de abril de 2018;Cabo Verde;Modelo;Mulher;EX;Crisleine Cardoso;30;Modelo;5ª eliminada;5;6 de março de 2018;31 de julho de 2018;22;21;;;;;;;;EX;Exterior
;;;;0;Nuno Codeço3;0;Adultos;2016;Lisboa;10 de maio de 2016;Portugal;Diretor;Homem;EX;Nuno Codeço;37;Diretor financeiro;6º eliminado;3;15 de março de 2016;23 de agosto de 2016;25;21;;;;;;;;EX;Exterior
;;;;0;Dalvio Barrichello5;0;Adultos;2018;São Paulo;20 de março de 2018;Brasil;Educação física;Homem;São Paulo;Dalvio Barrichello;34;Treinador de basquete;1º eliminado;5;6 de março de 2018;31 de julho de 2018;22;21;;;;;;;;SP;Sudeste
purê de kabocha;farofa;;;2;Elisa Fernandes1;1;Adultos;2014;Ribeirão Preto;16 de dezembro de 2014;Brasil;Produtora executiva;Mulher;São Paulo;Elisa Fernandes;24;Produtora executiva;Vencedor;1;2 de setembro de 2014;16 de dezembro de 2014;17;16;;Principal;0;Filé mignon suíno ao molho;Porco;purê de kabocha, farofa;Elisa Fernandes;SP;Sudeste
;;;;0;Jiang Pu2;0;Adultos;2015;Yongzhou;8 de setembro de 2015;China;Autônomo;Mulher;EX;Jiang Pu;26;Autônoma e estatística;17ª eliminada;2;19 de maio de 2015;15 de setembro de 2015;18;18;;;;;;;;EX;Exterior
;;;;0;Eduardo Mauad6;0;Adultos;2019;Barretos;14 de julho de 2019;Brasil;Motorista;Homem;São Paulo;Eduardo Mauad;29;Médico;13º eliminado;6;24 de março de 2019;25 de agosto de 2019;22;19;;;;;;;;SP;Sudeste
purê de batatas;molho de vinho;;;4;Izabel Alvares2;1;Adultos;2015;Rio de Janeiro;15 de setembro de 2015;Brasil;Produtora executiva;Mulher;Rio de Janeiro;Izabel Alvares;31;Produtora de eventos;Vencedor;2;19 de maio de 2015;15 de setembro de 2015;18;18;;Principal;0;Bocheca de porco ao molho de vinho;Porco;purê de batatas, molho de vinho;Izabel Alvares;RJ;Sudeste
purê de batatas;molho de vinho;;;4;Izabel Alvares2;0;Adultos;2015;Rio de Janeiro;23 de junho de 2015;Brasil;Produtora executiva;Mulher;Rio de Janeiro;Izabel Alvares;31;Produtora de eventos;6ª eliminada;2;19 de maio de 2015;15 de setembro de 2015;18;18;;Principal;0;Bocheca de porco ao molho de vinho;Porco;purê de batatas, molho de vinho;Izabel Alvares;RJ;Sudeste
;;;;0;Shlomi Asaf1;0;Adultos;2014;Rishon LeZion;16 de setembro de 2014;Israel;Desenvolvedor;Homem;EX;Shlomi Asaf;39;Desenvolvedor de aplicativos;1º eliminado;1;2 de setembro de 2014;16 de dezembro de 2014;17;16;;;;;;;;EX;Exterior
;;;;0;Vanessa Vagnotti3;0;Adultos;2016;Vitória;14 de junho de 2016;Brasil;Pedagogia;Mulher;Espírito Santo;Vanessa Vagnotti;46;Professora de dança;10ª eliminada;3;15 de março de 2016;23 de agosto de 2016;25;21;;;;;;;;ES;Sudeste
